ROUTE,flights_count,avg_arrival_delay,median_arrival_delay,cancel_rate,diverted_rate,avg_distance,cluster
ATL-PBI,89,2.808988764044944,-4.0,0.0,0.0,878.3120239901201,0
ATL-PDX,16,-3.0,-14.5,0.0,0.0,3488.980866066852,0
ATL-PHF,22,-3.3181818181818183,-5.0,0.0,0.0,816.9165189708561,0
ATL-PHL,119,3.6864406779661016,-6.0,0.008403361344537815,0.0,1071.231475921287,0
ATL-PHX,58,1.5,-4.0,0.0,0.0,2548.7756821091602,0
ATL-PIA,17,-0.7058823529411765,-1.0,0.0,0.0,909.4076549278408,0
ATL-PIT,53,1.0566037735849056,-8.0,0.0,0.0,847.55395362814,0
ATL-PNS,37,1.7777777777777777,-6.0,0.02702702702702703,0.0,437.78942303470063,0
ATL-PVD,16,8.733333333333333,-7.0,0.0625,0.0,1451.9911483070985,0
ATL-PWM,7,-3.0,-16.0,0.0,0.0,1651.4040766852715,0
ATL-RDU,82,10.296296296296296,-4.0,0.012195121951219513,0.0,571.9657879841793,0
ATL-RIC,56,-0.05357142857142857,-5.0,0.0,0.0,772.8501929456388,0
ATL-ROA,22,6.136363636363637,-3.0,0.0,0.0,574.6211793969007,0
ATL-ROC,12,0.75,-8.0,0.0,0.0,1206.2496516231683,0
ATL-RSW,79,-2.551282051282051,-9.0,0.012658227848101266,0.0,830.6259895389245,0
ATL-SAN,35,-10.264705882352942,-12.5,0.0,0.02857142857142857,3037.70639482622,0
ATL-SAT,48,-0.3958333333333333,-4.5,0.0,0.0,1404.9092785423538,0
ATL-SAV,58,0.896551724137931,-6.0,0.0,0.0,344.90135292481466,0
ATL-SBN,23,6.086956521739131,-1.0,0.0,0.0,912.4209107790484,0
ATL-SDF,57,-1.263157894736842,-6.0,0.0,0.0,517.7362683071005,0
ATL-SEA,40,1.1282051282051282,-9.0,0.025,0.0,3504.832199401679,0
ATL-SFO,56,-4.321428571428571,-10.5,0.0,0.0,3434.6745731511132,0
ATL-SGF,22,4.136363636363637,-4.5,0.0,0.0,904.6641058155045,0
ATL-SHV,38,4.027027027027027,-6.0,0.02631578947368421,0.0,885.723279662931,0
ATL-SJU,21,-7.380952380952381,-8.0,0.0,0.0,2491.110801936876,0
ATL-SLC,45,-10.863636363636363,-11.5,0.022222222222222223,0.0,2553.4982955854007,0
ATL-SMF,15,-1.7333333333333334,-5.0,0.0,0.0,3359.679769644555,0
ATL-SNA,25,-5.041666666666667,-11.5,0.0,0.04,3081.3326405169623,0
ATL-SRQ,37,-1.0,-7.0,0.0,0.0,717.1779148610302,0
ATL-STL,52,-3.25,-5.0,0.0,0.0,778.0718271181286,0
ATL-STT,13,-4.538461538461538,-8.0,0.0,0.0,2574.9751681489865,0
ATL-SYR,19,-5.105263157894737,-6.0,0.0,0.0,1277.2237025355603,0
ATL-TLH,37,-1.0810810810810811,-6.0,0.0,0.0,360.77859935233255,0
ATL-TPA,127,6.118110236220472,-3.0,0.0,0.0,655.3218777614096,0
ATL-TRI,26,1.8461538461538463,-9.0,0.0,0.0,364.8696032708434,0
ATL-TTN,8,28.625,21.5,0.0,0.0,1127.530690503189,0
ATL-TUL,25,-3.68,-6.0,0.0,0.0,1082.244403214663,0
ATL-TUS,14,0.07142857142857142,-11.0,0.0,0.0,2475.042417539495,0
ATL-TYS,29,-0.13793103448275862,-6.0,0.0,0.0,244.7562497376901,0
ATL-VLD,12,-4.545454545454546,-8.0,0.08333333333333333,0.0,335.6995264443412,0
ATL-VPS,33,-4.515151515151516,-6.0,0.0,0.0,402.89852681472274,0
ATL-XNA,44,3.477272727272727,-3.5,0.0,0.0,946.5017829160017,0
ATW-ATL,6,-15.5,-21.5,0.0,0.0,1232.0204876446412,0
ATW-MSP,6,5.5,1.0,0.0,0.0,378.45079522424857,0
ATW-ORD,31,-0.6785714285714286,-3.5,0.0967741935483871,0.0,258.15089594674515,0
AUS-ATL,67,1.507462686567164,-3.0,0.0,0.0,1306.1887571886366,0
AUS-BNA,8,1.75,-4.5,0.0,0.0,1215.9726725828475,0
AUS-BOS,8,-0.375,3.0,0.0,0.0,2729.698535842252,0
AUS-BWI,19,0.5,-8.5,0.05263157894736842,0.0,2157.041402268566,0
AUS-CLT,5,-5.8,-7.0,0.0,0.0,1659.0257027854775,0
AUS-DAL,80,4.897435897435898,-3.0,0.025,0.0,304.9731571195903,0
AUS-DCA,6,24.666666666666668,-6.5,0.0,0.0,2114.359606377014,0
AUS-DEN,49,24.75,0.0,0.02040816326530612,0.0,1248.236840186592,0
AUS-DFW,93,14.544444444444444,-3.0,0.021505376344086023,0.010752688172043012,306.30656547365663,0
AUS-DTW,7,2.142857142857143,-3.0,0.0,0.0,1848.7766155226582,0
AUS-ELP,17,30.294117647058822,2.0,0.0,0.0,848.8467268499369,0
AUS-EWR,13,3.75,-6.0,0.07692307692307693,0.0,2416.90920643651,0
AUS-FLL,16,7.5625,4.5,0.0,0.0,1775.6676456685884,0
AUS-HOU,32,3.59375,-1.5,0.0,0.0,238.37763706776212,0
AUS-HRL,8,5.125,5.5,0.0,0.0,441.0039095725394,0
AUS-IAH,29,3.413793103448276,3.0,0.0,0.0,225.44571422203956,0
